title,champ_star_a,champ_star_b,champ_star_c,champ_star_d,champ_star_e,champ_star_f,champ_star_g,champ_star_h,champ_star_i,champ_star_j,champ_ment_a,champ_ment_b,champ_ment_c,champ_ment_d,champ_ment_e,champ_ment_f,champ_ment_g,champ_ment_h,champ_ment_i
A DEATH KNOT,Sejuani,,,,,,,,,,Kindred,,,,,,,,
A DIFFERENT HUNGER,Vel'Koz,,,,,,,,,,,,,,,,,,
A FAIR TRADE,Ahri,,,,,,,,,,,,,,,,,,
A FEAST FIT FOR A KING,Trundle,,,,,,,,,,Lissandra,,,,,,,,
A GOOD DAY,,,,,,,,,,,Anivia,Ornn,Volibear,,,,,,
A GOOD DEATH,Kindred,,,,,,,,,,,,,,,,,,
A HERO WAKES,Galio,,,,,,,,,,,,,,,,,,
A MATTER OF HONOR,Fiora,,,,,,,,,,,,,,,,,,
A PIECE OF SHADOW CAKE,Xayah,Rakan,Zed,,,,,,,,,,,,,,,,
A QUICK FIX,Jayce,,,,,,,,,,Viktor,,,,,,,,
A QUIET NIGHT,Tristana,,,,,,,,,,,,,,,,,,
A SMOLDERING COAL,Tryndamere,,,,,,,,,,Ashe,,,,,,,,
A SWORD WITHOUT A SHEATH,Yone,,,,,,,,,,Yasuo,,,,,,,,
A WALK WITH THE VOICES,Udyr,,,,,,,,,,,,,,,,,,
A WELL-EARNED TIP,Gragas,,,,,,,,,,,,,,,,,,
ADAPTATION,Kha'Zix,Rengar,,,,,,,,,,,,,,,,,
AFTERMATH,Jarvan IV,,Xin Zhao,,,,,,,,,,,,,,,,
ALL KINDRED EVE,Kindred,,,,,,,,,,,,,,,,,,
ALL THAT GLITTERS...,Lee Sin,,,,,,,,,,,,,,,,,,
ALONE,Vladimir,,,,,,,,,,,,,,,,,,
AMBITION'S EMBRACE,Ashe,Kassadin,Lulu,Lux,Master Yi,Rakan,Thresh,Xayah,Xin Zhao,,Jhin,Malphite,Mordekaiser,Xerath,,,,,
AN EXPLORER'S JOURNEY,Ezreal,,,,,,,,,,,,,,,,,,
AN INTIMATE EVENING AT OYSTER BILL’S,Nilah,Graves,,,,,,,,,Rengar,Senna,Viego,,,,,,
AN OLD FRIEND,Ryze,,,,,,,,,,,,,,,,,,
ARISEN,Azir,,,,,,,,,,Sivir,Xerath,,,,,,,
ART IS LIFE,Vladimir,,,,,,,,,,Galio,Kindred,LeBlanc,Maokai,Mordekaiser,,,,
AS STONE,,,,,,,,,,,,,,,,,,,
AT THE EDGE OF THE WORLD,,,,,,,,,,,Swain,,,,,,,,
BETWEEN LIGHT AND SHADOWS,Kennen,,,,,,,,,,Akali,Shen,,,,,,,
"BIG HEAD, BAD NEWS",Sett,,,,,,,,,,,,,,,,,,
BLOOD IN THE WATER,Gangplank,,,,,,,,,,,,,,,,,,
BLOODLINE,Nasus,Sivir,Taliyah,Xerath,,,,,,,Azir,Renekton,Yasuo,,,,,,
BOMBS: A TRIBUTE,Ziggs,,,,,,,,,,Heimerdinger,Jinx,,,,,,,
BROTHERHOOD,Yasuo,,,,,,,,,,Yone,,,,,,,,
BURIAL AT SEA,Karthus,,,,,,,,,,,,,,,,,,
BURNING TIDES,Twisted Fate,Miss Fortune,Gangplank,Graves,,,,,,,,,,,,,,,
CANTICLE OF THE WINGED SISTERS,Kayle,Morgana,,,,,,,,,,,,,,,,,
CARAVAN NORTH,Rammus,,,,,,,,,,,,,,,,,,
CHILD OF ZAUN,Urgot,Vi,Caitlyn,,,,,,,,,,,,,,,,
CITY OF IRON AND GLASS,,,,,,,,,,,Janna,,,,,,,,
CONFESSIONS OF A BROKEN BLADE: PART 2,Riven,,,,,,,,,,Yasuo,,,,,,,,
CONFESSIONS OF A BROKEN BLADE: PART 3,Riven,Yasuo,,,,,,,,,,,,,,,,,
CONFESSIONS OF A BROKEN BLADE: PART I,Riven,Yasuo,,,,,,,,,Yone,,,,,,,,
COURTING DISASTER,Elise,,,,,,,,,,,,,,,,,,
DAREDEVIL IMPULSE,Samira,,,,,,,,,,LeBlanc,Rell,,,,,,,
DARK KIN,Varus,,,,,,,,,,,,,,,,,,
DARKNESS RENEWS,Renekton,,,,,,,,,,Azir,Nasus,Xerath,,,,,,
