title,region,writer,word_count,min_to_read,pov,tense,publish_date,day_of_week,month,day,year,story_link
A DEATH KNOT,Freljord,Odin Austin Shafer,1248,5,3rd,past,,,,,,https://universe.leagueoflegends.com/en_US/story/sejuani-color-story/
A DIFFERENT HUNGER,The Void,Ian St.Martin,1146,5,1st,past,03-27-2017,Monday,3,27,2017,https://universe.leagueoflegends.com/en_US/story/velkoz-color-story/
A FAIR TRADE,Runeterra,Rayla Heide,1311,5,3rd,past,04-23-2017,Sunday,4,23,2017,https://universe.leagueoflegends.com/en_US/story/ahri-color/
A FEAST FIT FOR A KING,Freljord,Graham McNeill,4906,18,3rd,past,06-09-2020,Tuesday,6,9,2020,https://universe.leagueoflegends.com/en_US/story/feast-fit-for-a-king/
A GOOD DAY,Freljord,Anthony Reynolds,5497,22,3rd,past,11-05-2019,Tuesday,11,5,2019,https://leagueoflegends.fandom.com/wiki/A_Good_Day
A GOOD DEATH,Runeterra,Matt Dunn,1938,8,3rd,past,10-14-2015,Wednesday,10,14,2015,https://universe.leagueoflegends.com/en_US/story/kindred-good-death-story/
A HERO WAKES,Demacia,John O'Bryan,1525,4,3rd,past,03-24-2017,Friday,3,24,2017,https://universe.leagueoflegends.com/en_US/story/galio-color-story/
A MATTER OF HONOR,Demacia,Graham McNeill,890,4,3rd,past,11-01-2016,Tuesday,11,1,2016,https://universe.leagueoflegends.com/en_US/story/fiora-color-story/
A PIECE OF SHADOW CAKE,Ionia,Odin Austin Shafer,7385,27,3rd,past,07-07-2020,Tuesday,7,7,2020,https://universe.leagueoflegends.com/en_US/story/piece-of-shadow-cake/
A QUICK FIX,Piltover,Anthony Burch,1255,5,3rd,past,12-02-2016,Friday,12,2,2016,https://universe.leagueoflegends.com/en_US/story/jayce-color-story/
A QUIET NIGHT,Bandle City,Graham McNeill,1369,5,3rd,past,05-16-2016,Monday,5,16,2016,https://universe.leagueoflegends.com/en_US/story/tristana-color-story/
A SMOLDERING COAL,Freljord,Roy Graham,1412,6,1st,mix,,,,,,https://universe.leagueoflegends.com/en_US/story/tryndamere-color-story/
A SWORD WITHOUT A SHEATH,Ionia,Joel Lansford,252,1,1st,past,04-02-2018,Monday,4,2,2018,https://universe.leagueoflegends.com/en_US/story/a-sword-without-a-sheath-story/
A WALK WITH THE VOICES,Freljord,Michael Luo,1227,5,3rd,past,09-29-2020,Tuesday,9,29,2020,https://universe.leagueoflegends.com/en_US/story/udyr-color-story/
A WELL-EARNED TIP,Freljord,Laura Michet,1485,6,3rd,past,12-18-2020,Friday,12,18,2020,https://universe.leagueoflegends.com/en_US/story/gragas-color-story/
ADAPTATION,Ixtal,Ian St.Martin,1208,5,1st,present,08-27-2019,Tuesday,8,27,2019,https://universe.leagueoflegends.com/en_US/story/khazix-color-story/
AFTERMATH,Demacia,Anthony Reynolds,4791,18,3rd,past,08-14-2019,Wednesday,8,14,2019,https://universe.leagueoflegends.com/en_US/story/xinzhao-aftermath-story/
ALL KINDRED EVE,Bilgewater,Matt Dunn,4946,20,3rd,past,11-05-2019,Tuesday,11,5,2019,https://leagueoflegends.fandom.com/wiki/All_Kindred_Eve
